class,rank,feature,mean_abs_shap
Withdrawn,1,num_assessments,0.6064972
Withdrawn,2,num_TMA,0.5150676
Withdrawn,3,num_Exam,0.36215165
Withdrawn,4,score_per_assessment,0.19315054
Withdrawn,5,avg_score_Exam,0.14353235
Withdrawn,6,num_CMA,0.14041588
Withdrawn,7,studied_credits,0.13572365
Withdrawn,8,early_submissions,0.120112844
Withdrawn,9,clicks_quiz,0.08591678
Withdrawn,10,tma_cma_score_diff,0.08567474
Fail,1,avg_score_Exam,0.3138133
Fail,2,score_per_assessment,0.24237657
Fail,3,total_vle_days,0.12408353
Fail,4,clicks_page,0.08598772
Fail,5,avg_score,0.07398054
Fail,6,total_clicks,0.06655757
Fail,7,num_TMA,0.06495494
Fail,8,studied_credits,0.059471536
Fail,9,clicks_oucontent,0.05804375
Fail,10,clicks_quiz,0.050816797
Pass,1,score_per_assessment,1.2992269
Pass,2,num_TMA,0.94246763
Pass,3,avg_score_Exam,0.52656275
Pass,4,clicks_oucontent,0.23467846
Pass,5,num_assessments,0.22473787
Pass,6,clicks_quiz,0.21763307
Pass,7,avg_score,0.17003703
Pass,8,tma_cma_score_diff,0.14299689
Pass,9,clicks_subpage,0.14061417
Pass,10,avg_score_TMA,0.12399978
